kind,image,class,reason,confidence,best_iou,exported_image
FP,1 (255).bmp,scratch,定位偏差或重复预测,0.3073,0.4404,runs_668_error_analysis/class_threshold_trial_01_errors/fp/scratch/images/1 (255)__fp__scratch__03.bmp
FN,1 (256).bmp,splash,未检测到（建议检查尺度、反光、对比度或漏标）,0.201705,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/splash/images/1 (256)__fn__splash__02.bmp
FP,1 (256).bmp,chipping,背景误检、反光/边缘干扰，或真实缺陷漏标,0.8679,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fp/chipping/images/1 (256)__fp__chipping__00.bmp
FP,1 (256).bmp,spot,背景误检、反光/边缘干扰，或真实缺陷漏标,0.6876,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fp/spot/images/1 (256)__fp__spot__03.bmp
FP,1 (256).bmp,scratch,定位偏差或重复预测,0.313,0.2048,runs_668_error_analysis/class_threshold_trial_01_errors/fp/scratch/images/1 (256)__fp__scratch__07.bmp
FP,1 (256).bmp,scratch,背景误检、反光/边缘干扰，或真实缺陷漏标,0.2017,0.0061,runs_668_error_analysis/class_threshold_trial_01_errors/fp/scratch/images/1 (256)__fp__scratch__08.bmp
FN,1 (264).bmp,scratch,未检测到（建议检查尺度、反光、对比度或漏标）,0.403474,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/scratch/images/1 (264)__fn__scratch__06.bmp
FN,1 (264).bmp,scratch,未检测到（建议检查尺度、反光、对比度或漏标）,0.403474,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/scratch/images/1 (264)__fn__scratch__07.bmp
FN,1 (264).bmp,chipping,未检测到（建议检查尺度、反光、对比度或漏标）,0.403474,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/chipping/images/1 (264)__fn__chipping__08.bmp
FP,1 (264).bmp,chipping,背景误检、反光/边缘干扰，或真实缺陷漏标,0.5018,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fp/chipping/images/1 (264)__fp__chipping__03.bmp
FP,1 (264).bmp,splash,背景误检、反光/边缘干扰，或真实缺陷漏标,0.479,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fp/splash/images/1 (264)__fp__splash__04.bmp
FN,1 (265).bmp,scratch,未检测到（建议检查尺度、反光、对比度或漏标）,0.325185,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/scratch/images/1 (265)__fn__scratch__07.bmp
FN,1 (265).bmp,splash,未检测到（建议检查尺度、反光、对比度或漏标）,0.325185,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/splash/images/1 (265)__fn__splash__08.bmp
FP,1 (265).bmp,chipping,背景误检、反光/边缘干扰，或真实缺陷漏标,0.6434,0.0588,runs_668_error_analysis/class_threshold_trial_01_errors/fp/chipping/images/1 (265)__fp__chipping__02.bmp
FP,1 (265).bmp,chipping,定位偏差或重复预测,0.4244,0.8104,runs_668_error_analysis/class_threshold_trial_01_errors/fp/chipping/images/1 (265)__fp__chipping__06.bmp
FN,1 (269).bmp,scratch,定位偏差或置信度不足（存在部分重叠预测）,0.249323,0.6049,runs_668_error_analysis/class_threshold_trial_01_errors/fn/scratch/images/1 (269)__fn__scratch__00.bmp
FN,1 (269).bmp,scratch,未检测到（建议检查尺度、反光、对比度或漏标）,0.403954,0.001,runs_668_error_analysis/class_threshold_trial_01_errors/fn/scratch/images/1 (269)__fn__scratch__02.bmp
FN,1 (269).bmp,splash,类别混淆（同位置预测成其他类别）,0.354133,0.7449,runs_668_error_analysis/class_threshold_trial_01_errors/fn/splash/images/1 (269)__fn__splash__04.bmp
FN,1 (269).bmp,scratch,未检测到（建议检查尺度、反光、对比度或漏标）,0.249323,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/scratch/images/1 (269)__fn__scratch__06.bmp
FP,1 (269).bmp,spot,背景误检、反光/边缘干扰，或真实缺陷漏标,0.5763,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fp/spot/images/1 (269)__fp__spot__02.bmp
FP,1 (269).bmp,chipping,背景误检、反光/边缘干扰，或真实缺陷漏标,0.4551,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fp/chipping/images/1 (269)__fp__chipping__03.bmp
FP,1 (269).bmp,splash,背景误检、反光/边缘干扰，或真实缺陷漏标,0.404,0.001,runs_668_error_analysis/class_threshold_trial_01_errors/fp/splash/images/1 (269)__fp__splash__04.bmp
FP,1 (269).bmp,spot,类别混淆（预测类别错误）,0.3541,0.7449,runs_668_error_analysis/class_threshold_trial_01_errors/fp/spot/images/1 (269)__fp__spot__05.bmp
FP,1 (274).bmp,splash,定位偏差或重复预测,0.3699,0.458,runs_668_error_analysis/class_threshold_trial_01_errors/fp/splash/images/1 (274)__fp__splash__03.bmp
FN,1 (283).bmp,splash,未检测到（建议检查尺度、反光、对比度或漏标）,0.406358,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/splash/images/1 (283)__fn__splash__02.bmp
FN,1 (284).bmp,splash,未检测到（建议检查尺度、反光、对比度或漏标）,0.346621,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/splash/images/1 (284)__fn__splash__04.bmp
FN,1 (284).bmp,splash,未检测到（建议检查尺度、反光、对比度或漏标）,0.346621,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/splash/images/1 (284)__fn__splash__05.bmp
FN,1 (284).bmp,chipping,未检测到（建议检查尺度、反光、对比度或漏标）,0.346621,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/chipping/images/1 (284)__fn__chipping__06.bmp
FP,1 (284).bmp,chipping,背景误检、反光/边缘干扰，或真实缺陷漏标,0.3704,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fp/chipping/images/1 (284)__fp__chipping__04.bmp
FP,1 (284).bmp,splash,定位偏差或重复预测,0.3466,0.797,runs_668_error_analysis/class_threshold_trial_01_errors/fp/splash/images/1 (284)__fp__splash__05.bmp
FP,1 (293).bmp,splash,背景误检、反光/边缘干扰，或真实缺陷漏标,0.3223,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fp/splash/images/1 (293)__fp__splash__01.bmp
FN,1 (303).bmp,spot,类别混淆（同位置预测成其他类别）,0.570495,0.8203,runs_668_error_analysis/class_threshold_trial_01_errors/fn/spot/images/1 (303)__fn__spot__01.bmp
FP,1 (303).bmp,chipping,定位偏差或重复预测,0.6064,0.8353,runs_668_error_analysis/class_threshold_trial_01_errors/fp/chipping/images/1 (303)__fp__chipping__04.bmp
FP,1 (303).bmp,splash,类别混淆（预测类别错误）,0.5705,0.8203,runs_668_error_analysis/class_threshold_trial_01_errors/fp/splash/images/1 (303)__fp__splash__05.bmp
FP,1 (310).bmp,chipping,背景误检、反光/边缘干扰，或真实缺陷漏标,0.6645,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fp/chipping/images/1 (310)__fp__chipping__00.bmp
FP,1 (310).bmp,splash,背景误检、反光/边缘干扰，或真实缺陷漏标,0.5618,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fp/splash/images/1 (310)__fp__splash__03.bmp
FP,1 (311).bmp,splash,背景误检、反光/边缘干扰，或真实缺陷漏标,0.3304,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fp/splash/images/1 (311)__fp__splash__01.bmp
FP,1 (311).bmp,splash,定位偏差或重复预测,0.3219,0.8144,runs_668_error_analysis/class_threshold_trial_01_errors/fp/splash/images/1 (311)__fp__splash__02.bmp
FN,1 (313).bmp,chipping,未检测到（建议检查尺度、反光、对比度或漏标）,0.397885,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/chipping/images/1 (313)__fn__chipping__03.bmp
FN,1 (313).bmp,chipping,未检测到（建议检查尺度、反光、对比度或漏标）,0.397885,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/chipping/images/1 (313)__fn__chipping__04.bmp
FN,1 (313).bmp,chipping,定位偏差或置信度不足（存在部分重叠预测）,0.675865,0.2202,runs_668_error_analysis/class_threshold_trial_01_errors/fn/chipping/images/1 (313)__fn__chipping__05.bmp
FN,1 (313).bmp,splash,未检测到（建议检查尺度、反光、对比度或漏标）,0.397885,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/splash/images/1 (313)__fn__splash__20.bmp
FN,1 (313).bmp,splash,未检测到（建议检查尺度、反光、对比度或漏标）,0.397885,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/splash/images/1 (313)__fn__splash__21.bmp
FN,1 (313).bmp,splash,未检测到（建议检查尺度、反光、对比度或漏标）,0.397885,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/splash/images/1 (313)__fn__splash__22.bmp
FN,1 (313).bmp,splash,未检测到（建议检查尺度、反光、对比度或漏标）,0.397885,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/splash/images/1 (313)__fn__splash__23.bmp
FN,1 (313).bmp,splash,未检测到（建议检查尺度、反光、对比度或漏标）,0.397885,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/splash/images/1 (313)__fn__splash__24.bmp
FN,1 (313).bmp,splash,未检测到（建议检查尺度、反光、对比度或漏标）,0.397885,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/splash/images/1 (313)__fn__splash__25.bmp
FP,1 (313).bmp,chipping,背景误检、反光/边缘干扰，或真实缺陷漏标,0.8083,0.0664,runs_668_error_analysis/class_threshold_trial_01_errors/fp/chipping/images/1 (313)__fp__chipping__01.bmp
FP,1 (313).bmp,chipping,定位偏差或重复预测,0.3979,0.5535,runs_668_error_analysis/class_threshold_trial_01_errors/fp/chipping/images/1 (313)__fp__chipping__18.bmp
FP,1 (315).bmp,splash,定位偏差或重复预测,0.3243,0.5633,runs_668_error_analysis/class_threshold_trial_01_errors/fp/splash/images/1 (315)__fp__splash__03.bmp
FP,1 (327).bmp,splash,背景误检、反光/边缘干扰，或真实缺陷漏标,0.5534,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fp/splash/images/1 (327)__fp__splash__03.bmp
FP,1 (332).bmp,chipping,背景误检、反光/边缘干扰，或真实缺陷漏标,0.6581,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fp/chipping/images/1 (332)__fp__chipping__01.bmp
FP,1 (332).bmp,splash,背景误检、反光/边缘干扰，或真实缺陷漏标,0.5765,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fp/splash/images/1 (332)__fp__splash__02.bmp
FP,1 (332).bmp,splash,背景误检、反光/边缘干扰，或真实缺陷漏标,0.456,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fp/splash/images/1 (332)__fp__splash__03.bmp
FN,1 (333).bmp,splash,未检测到（建议检查尺度、反光、对比度或漏标）,0.374182,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/splash/images/1 (333)__fn__splash__04.bmp
FP,1 (333).bmp,spot,背景误检、反光/边缘干扰，或真实缺陷漏标,0.4895,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fp/spot/images/1 (333)__fp__spot__03.bmp
FP,1 (333).bmp,splash,背景误检、反光/边缘干扰，或真实缺陷漏标,0.3742,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fp/splash/images/1 (333)__fp__splash__05.bmp
FN,1 (337).bmp,chipping,未检测到（建议检查尺度、反光、对比度或漏标）,0.412113,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/chipping/images/1 (337)__fn__chipping__00.bmp
FN,1 (337).bmp,splash,未检测到（建议检查尺度、反光、对比度或漏标）,0.412113,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/splash/images/1 (337)__fn__splash__01.bmp
FN,1 (337).bmp,chipping,未检测到（建议检查尺度、反光、对比度或漏标）,0.412113,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/chipping/images/1 (337)__fn__chipping__02.bmp
FN,1 (337).bmp,chipping,未检测到（建议检查尺度、反光、对比度或漏标）,0.412113,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/chipping/images/1 (337)__fn__chipping__03.bmp
FN,1 (337).bmp,spot,类别混淆（同位置预测成其他类别）,0.49611,0.9259,runs_668_error_analysis/class_threshold_trial_01_errors/fn/spot/images/1 (337)__fn__spot__05.bmp
FP,1 (337).bmp,splash,背景误检、反光/边缘干扰，或真实缺陷漏标,0.5365,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fp/splash/images/1 (337)__fp__splash__00.bmp
FP,1 (337).bmp,chipping,类别混淆（预测类别错误）,0.4961,0.9259,runs_668_error_analysis/class_threshold_trial_01_errors/fp/chipping/images/1 (337)__fp__chipping__01.bmp
FN,1 (341).bmp,chipping,定位偏差或置信度不足（存在部分重叠预测）,0.508183,0.2103,runs_668_error_analysis/class_threshold_trial_01_errors/fn/chipping/images/1 (341)__fn__chipping__01.bmp
FN,1 (341).bmp,chipping,未检测到（建议检查尺度、反光、对比度或漏标）,0.508183,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/chipping/images/1 (341)__fn__chipping__02.bmp
FP,1 (341).bmp,chipping,定位偏差或重复预测,0.5082,0.2103,runs_668_error_analysis/class_threshold_trial_01_errors/fp/chipping/images/1 (341)__fp__chipping__01.bmp
FP,1 (342).bmp,splash,背景误检、反光/边缘干扰，或真实缺陷漏标,0.3972,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fp/splash/images/1 (342)__fp__splash__00.bmp
FP,1 (354).bmp,chipping,背景误检、反光/边缘干扰，或真实缺陷漏标,0.4737,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fp/chipping/images/1 (354)__fp__chipping__01.bmp
FP,1 (354).bmp,chipping,背景误检、反光/边缘干扰，或真实缺陷漏标,0.4556,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fp/chipping/images/1 (354)__fp__chipping__02.bmp
FN,1 (357).bmp,splash,未检测到（建议检查尺度、反光、对比度或漏标）,0.437039,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/splash/images/1 (357)__fn__splash__03.bmp
FN,1 (357).bmp,splash,未检测到（建议检查尺度、反光、对比度或漏标）,0.437039,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/splash/images/1 (357)__fn__splash__06.bmp
FP,1 (357).bmp,spot,背景误检、反光/边缘干扰，或真实缺陷漏标,0.4449,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fp/spot/images/1 (357)__fp__spot__04.bmp
FN,1 (359).bmp,chipping,未检测到（建议检查尺度、反光、对比度或漏标）,0.826727,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/chipping/images/1 (359)__fn__chipping__01.bmp
FN,1 (359).bmp,splash,未检测到（建议检查尺度、反光、对比度或漏标）,0.826727,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/splash/images/1 (359)__fn__splash__02.bmp
FP,1 (364).bmp,splash,定位偏差或重复预测,0.4095,0.7033,runs_668_error_analysis/class_threshold_trial_01_errors/fp/splash/images/1 (364)__fp__splash__02.bmp
FP,1 (372).bmp,chipping,背景误检、反光/边缘干扰，或真实缺陷漏标,0.8053,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fp/chipping/images/1 (372)__fp__chipping__00.bmp
FP,1 (372).bmp,chipping,背景误检、反光/边缘干扰，或真实缺陷漏标,0.6334,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fp/chipping/images/1 (372)__fp__chipping__03.bmp
FP,1 (372).bmp,splash,定位偏差或重复预测,0.3084,0.8664,runs_668_error_analysis/class_threshold_trial_01_errors/fp/splash/images/1 (372)__fp__splash__05.bmp
FN,1 (373).bmp,splash,未检测到（建议检查尺度、反光、对比度或漏标）,0.329044,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/splash/images/1 (373)__fn__splash__02.bmp
FN,1 (373).bmp,chipping,未检测到（建议检查尺度、反光、对比度或漏标）,0.329044,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/chipping/images/1 (373)__fn__chipping__03.bmp
FN,1 (373).bmp,splash,未检测到（建议检查尺度、反光、对比度或漏标）,0.329044,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/splash/images/1 (373)__fn__splash__04.bmp
FN,1 (373).bmp,splash,未检测到（建议检查尺度、反光、对比度或漏标）,0.329044,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/splash/images/1 (373)__fn__splash__05.bmp
FN,1 (373).bmp,splash,未检测到（建议检查尺度、反光、对比度或漏标）,0.329044,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/splash/images/1 (373)__fn__splash__06.bmp
FN,1 (373).bmp,splash,未检测到（建议检查尺度、反光、对比度或漏标）,0.329044,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/splash/images/1 (373)__fn__splash__07.bmp
FN,1 (373).bmp,splash,未检测到（建议检查尺度、反光、对比度或漏标）,0.329044,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/splash/images/1 (373)__fn__splash__08.bmp
FN,1 (373).bmp,splash,未检测到（建议检查尺度、反光、对比度或漏标）,0.329044,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/splash/images/1 (373)__fn__splash__09.bmp
FN,1 (377).bmp,splash,定位偏差或置信度不足（存在部分重叠预测）,0.709709,0.4702,runs_668_error_analysis/class_threshold_trial_01_errors/fn/splash/images/1 (377)__fn__splash__00.bmp
FP,1 (377).bmp,splash,定位偏差或重复预测,0.7097,0.4702,runs_668_error_analysis/class_threshold_trial_01_errors/fp/splash/images/1 (377)__fp__splash__00.bmp
FN,1 (379).bmp,chipping,未检测到（建议检查尺度、反光、对比度或漏标）,0.316704,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/chipping/images/1 (379)__fn__chipping__00.bmp
FP,1 (379).bmp,chipping,背景误检、反光/边缘干扰，或真实缺陷漏标,0.3167,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fp/chipping/images/1 (379)__fp__chipping__00.bmp
FN,1 (390).bmp,splash,类别混淆（同位置预测成其他类别）,0.836613,0.8864,runs_668_error_analysis/class_threshold_trial_01_errors/fn/splash/images/1 (390)__fn__splash__00.bmp
FN,1 (390).bmp,splash,未检测到（建议检查尺度、反光、对比度或漏标）,0.263684,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/splash/images/1 (390)__fn__splash__05.bmp
FP,1 (390).bmp,spot,类别混淆（预测类别错误）,0.8366,0.8864,runs_668_error_analysis/class_threshold_trial_01_errors/fp/spot/images/1 (390)__fp__spot__00.bmp
FP,1 (390).bmp,spot,类别混淆（预测类别错误）,0.2637,0.8081,runs_668_error_analysis/class_threshold_trial_01_errors/fp/spot/images/1 (390)__fp__spot__05.bmp
FN,1 (403).bmp,splash,未检测到（建议检查尺度、反光、对比度或漏标）,0.962294,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/splash/images/1 (403)__fn__splash__01.bmp
FN,1 (413).bmp,chipping,未检测到（建议检查尺度、反光、对比度或漏标）,0.623378,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/chipping/images/1 (413)__fn__chipping__00.bmp
FN,1 (413).bmp,splash,未检测到（建议检查尺度、反光、对比度或漏标）,0.623378,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/splash/images/1 (413)__fn__splash__01.bmp
FN,1 (413).bmp,splash,未检测到（建议检查尺度、反光、对比度或漏标）,0.623378,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/splash/images/1 (413)__fn__splash__03.bmp
FN,1 (418).bmp,splash,未检测到（建议检查尺度、反光、对比度或漏标）,0.309963,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/splash/images/1 (418)__fn__splash__01.bmp
FN,1 (418).bmp,spot,类别混淆（同位置预测成其他类别）,0.424693,0.8027,runs_668_error_analysis/class_threshold_trial_01_errors/fn/spot/images/1 (418)__fn__spot__03.bmp
FN,1 (418).bmp,splash,未检测到（建议检查尺度、反光、对比度或漏标）,0.309963,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/splash/images/1 (418)__fn__splash__06.bmp
FN,1 (418).bmp,splash,未检测到（建议检查尺度、反光、对比度或漏标）,0.309963,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/splash/images/1 (418)__fn__splash__07.bmp
FN,1 (418).bmp,splash,未检测到（建议检查尺度、反光、对比度或漏标）,0.309963,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/splash/images/1 (418)__fn__splash__11.bmp
FN,1 (418).bmp,splash,未检测到（建议检查尺度、反光、对比度或漏标）,0.309963,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/splash/images/1 (418)__fn__splash__12.bmp
FN,1 (418).bmp,splash,未检测到（建议检查尺度、反光、对比度或漏标）,0.309963,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/splash/images/1 (418)__fn__splash__13.bmp
FN,1 (418).bmp,splash,未检测到（建议检查尺度、反光、对比度或漏标）,0.309963,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/splash/images/1 (418)__fn__splash__14.bmp
FN,1 (418).bmp,splash,未检测到（建议检查尺度、反光、对比度或漏标）,0.309963,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/splash/images/1 (418)__fn__splash__15.bmp
FN,1 (418).bmp,splash,未检测到（建议检查尺度、反光、对比度或漏标）,0.309963,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/splash/images/1 (418)__fn__splash__16.bmp
FN,1 (418).bmp,splash,未检测到（建议检查尺度、反光、对比度或漏标）,0.309963,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/splash/images/1 (418)__fn__splash__17.bmp
FP,1 (418).bmp,splash,类别混淆（预测类别错误）,0.4247,0.8027,runs_668_error_analysis/class_threshold_trial_01_errors/fp/splash/images/1 (418)__fp__splash__05.bmp
FN,1 (421).bmp,chipping,定位偏差或置信度不足（存在部分重叠预测）,0.722028,0.2061,runs_668_error_analysis/class_threshold_trial_01_errors/fn/chipping/images/1 (421)__fn__chipping__00.bmp
FN,1 (421).bmp,spot,类别混淆（同位置预测成其他类别）,0.813701,0.6357,runs_668_error_analysis/class_threshold_trial_01_errors/fn/spot/images/1 (421)__fn__spot__01.bmp
FN,1 (421).bmp,spot,类别混淆（同位置预测成其他类别）,0.510635,0.5349,runs_668_error_analysis/class_threshold_trial_01_errors/fn/spot/images/1 (421)__fn__spot__07.bmp
FN,1 (421).bmp,splash,未检测到（建议检查尺度、反光、对比度或漏标）,0.332481,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/splash/images/1 (421)__fn__splash__13.bmp
FN,1 (421).bmp,splash,未检测到（建议检查尺度、反光、对比度或漏标）,0.332481,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/splash/images/1 (421)__fn__splash__15.bmp
FN,1 (421).bmp,splash,未检测到（建议检查尺度、反光、对比度或漏标）,0.332481,0.0,runs_668_error_analysis/class_threshold_trial_01_errors/fn/splash/images/1 (421)__fn__splash__17.bmp
